Iteration,Gene_Group_B
0,"[3, 4, 35, 41, 20, 23, 27]"
0,"[33, 35, 37, 41, 49, 27]"
0,"[33, 35, 37, 41, 49, 23, 27]"
0,"[0, 33, 2, 35, 37, 41, 49, 27]"
0,"[35, 37, 8, 41, 13, 49, 27, 28]"
0,"[33, 35, 37, 41, 49, 24, 27]"
0,"[33, 35, 37, 41, 49, 27]"
0,"[0, 2, 8, 13, 48, 26]"
0,"[3, 4, 35, 37, 41, 49, 23, 27]"
0,"[3, 4, 35, 37, 41, 23, 27]"
0,"[0, 2, 35, 37, 8, 41, 13, 49, 28]"
0,"[33, 35, 37, 41, 49, 20, 27]"
0,"[0, 2, 8, 13, 48, 26]"
0,"[33, 35, 37, 41, 49, 27, 28]"
0,"[0, 2, 8, 13, 48, 26]"
0,"[0, 2, 8, 13, 48, 26]"
0,"[33, 35, 37, 41, 49, 27]"
0,"[33, 3, 35, 37, 4, 41, 49, 20]"
0,"[36, 42, 45, 25, 31]"
0,"[32, 39, 43, 46, 29]"
0,"[6, 11, 15, 18, 22]"
0,"[1, 9, 12, 16, 19]"
0,"[1, 9, 12, 16, 19]"
0,"[1, 9, 12, 16, 19]"
0,"[5, 10, 14, 17, 21]"
0,"[32, 39, 43, 46, 29]"
0,"[5, 10, 14, 17, 21]"
0,"[5, 10, 14, 17, 21]"
0,"[1, 9, 12, 16, 19]"
0,"[5, 10, 14, 17, 21]"
0,"[6, 11, 15, 18, 22]"
0,"[32, 39, 43, 46, 29]"
0,"[36, 42, 45, 25, 31]"
0,"[34, 40, 44, 47, 30]"
0,"[32, 39, 43, 46, 29]"
0,"[1, 9, 12, 16, 19]"
0,"[34, 40, 44, 47, 30]"
0,"[6, 11, 15, 18, 22]"
0,"[32, 39, 43, 46, 29]"
0,"[36, 42, 45, 25, 31]"
0,"[5, 10, 14, 17, 21]"
0,"[36, 42, 45, 25, 31]"
0,"[6, 11, 15, 18, 22]"
0,"[34, 40, 44, 47, 30]"
0,"[36, 42, 45, 25, 31]"
0,"[34, 40, 44, 47, 30]"
0,"[6, 11, 15, 18, 22]"
0,"[34, 40, 44, 47, 30]"
